2020:1500        2091:1000
2067:500         2063:500
1994:4500        2117:1000
2004:1000        1977:1500
2058:1000        2046:600
1996:1000        2011:1500
2103:600         2064:1000
2021:700         1935:500
2059:1000        2038:2400
1958:1000        2106:2000
2076:1000        2049:2000
2035:300         2093:1000
2068:300         2048:2000
2043:600         2118:1000
2036:  -         2070:1000        
2006:1000        2026:500          
2098:500         2108:1400        
2069:1500        2027:1000        
2060:600         2027:4000        
2044:500         2026:1000        
2023:6000        2040:1000        
1987:1500        2094:500          
1984:2000        2065:1000        
1999:1000        2019:1000        
2104:600         2080:500          
1975:3750        2116:2000        
2007:300         2031:1900        
1973:2000        1914:3250        
1820:4000        1914:1000        
1960:700         2114:1000
2062:300         2014:2000
2037:700         2050:1000
2008:500         2015:500
2092:400         1665:500
